vcpus,memory,images,start_time,app_init,lib_init,anonymization,lib_anony,total_time
1,32,60,0,9.461464539,148.958402048,35.404531968,184.362934016,193.824398555
1,32,60,0,9.584607651,149.24696192,34.606141952,183.853103872,193.437711523
1,32,60,0,9.455526201,152.440473088,34.6697792,187.110252288,196.565778489
1,32,60,0,9.402363552,152.148937216,35.17989888,187.328836096,196.731199648
1,32,60,0,9.451434212,151.316077312,34.464165888,185.7802432,195.231677412
1,32,60,0,9.402205003,152.062535168,33.917746944,185.980282112,195.382487115
1,32,60,0,9.757806491,150.430695936,33.933661952,184.364357888,194.122164379
1,32,60,0,9.80707035,151.332635904,34.681051136,186.01368704,195.82075739
1,32,60,0,9.291021285,151.148923648,37.506613248,188.655536896,197.946558181
1,32,60,0,9.774572313,149.190624,34.04681088,183.23743488,193.012007193
1,32,60,0,10.125665156,151.989366016,33.837607936,185.826973952,195.952639108
1,32,60,0,9.357041633,152.263681024,35.09019008,187.353871104,196.710912737
1,32,60,0,9.771855575,152.590046976,34.348555008,186.938601984,196.710457559
1,32,60,0,9.570027375,150.792107008,35.497508864,186.289615872,195.859643247
1,32,60,0,9.482949578,149.137959168,35.649860864,184.787820032,194.27076961
1,32,60,0,9.468610902,150.944813056,34.996617984,185.94143104,195.410041942
1,32,60,0,9.495668338,150.870497024,34.337257984,185.207755008,194.703423346
1,32,60,0,9.556477011,151.428939008,34.198188032,185.62712704,195.183604051
1,32,60,0,9.96181342,149.447309056,34.383403008,183.830712064,193.792525484
1,32,60,0,9.932094517,150.025199872,34.90739712,184.932596992,194.864691509
1,32,60,0,9.864643063,150.451862784,33.88065408,184.332516864,194.197159927
2,64,90,0,8.931478882,118.747796992,30.038974208,148.7867712,157.718250082
2,64,90,0,9.458116628,119.175275008,28.804523008,147.979798016,157.437914644
2,64,90,0,9.256375568,111.102541056,37.50607104,148.608612096,157.864987664
2,64,90,0,9.254085556,110.025361152,28.72178304,138.747144192,148.001229748
2,64,90,0,9.069804637,118.966654976,30.08418688,149.050841856,158.120646493
2,64,90,0,9.589989768,110.170983936,28.9122112,139.083195136,148.673184904
2,64,90,0,9.187579055,122.269662208,28.94130688,151.210969088,160.398548143
2,64,90,0,9.169612846,113.664955904,29.649517056,143.31447296,152.484085806
2,64,90,0,9.746207959,121.310627072,29.644930048,150.95555712,160.701765079
2,64,90,0,9.56472601,117.459062272,29.638409728,147.097472,156.66219801
2,64,90,0,9.393574272,110.331305984,29.384016896,139.71532288,149.108897152
2,64,90,0,9.087458582,114.971006976,30.495188992,145.466195968,154.55365455
2,64,90,0,8.97566579,126.313464064,29.114204928,155.427668992,164.403334782
2,64,90,0,9.445544575,112.54697472,29.517014016,142.063988736,151.509533311
2,64,90,0,9.292110275,124.092576,28.893316096,152.985892096,162.278002371
2,64,90,0,9.230041651,112.27277312,29.623909888,141.896683008,151.126724659
2,64,90,0,9.50205291,126.32214016,29.450294016,155.772434176,165.274487086
2,64,90,0,9.097574317,124.856275968,30.695781888,155.552057856,164.649632173
2,64,90,0,8.943040926,116.761272832,29.119299328,145.88057216,154.823613086
2,64,90,0,9.643208489,116.528242944,29.528987904,146.057230848,155.700439337
